setName,cardNumber,cardName,t,price,price_lag1,log_price,log_return,roll_mean_3,roll_std_3,momentum_since_start,target_next_log_return
Ascended Heroes,218,Erika's Tangela,6,30.79,,3.427189961936409,,30.79,,0.0,-0.1032336606177009
Ascended Heroes,218,Erika's Tangela,7,27.77,30.79,3.323956301318708,-0.1032336606177009,29.28,2.1354624791833747,-0.09808379343942837,-0.06855570176813508
Ascended Heroes,218,Erika's Tangela,8,25.93,27.77,3.255400599550573,-0.06855570176813508,28.16333333333333,2.453759021039625,-0.15784345566742447,0.01378803919121685
Ascended Heroes,218,Erika's Tangela,9,26.29,25.93,3.26918863874179,0.01378803919121685,26.66333333333333,0.9751581068387556,-0.14615134784020786,0.022937647866003275
Ascended Heroes,218,Erika's Tangela,10,26.9,26.29,3.292126286607793,0.022937647866003275,26.373333333333335,0.4903400180827042,-0.12633972068853527,-0.3641376651403214
Ascended Heroes,218,Erika's Tangela,11,18.69,26.9,2.9279886214674717,-0.3641376651403214,23.959999999999997,4.574133797780735,-0.39298473530366995,-0.05160310554604708
Ascended Heroes,218,Erika's Tangela,12,17.75,18.69,2.8763855159214247,-0.05160310554604708,21.113333333333333,5.03339183188964,-0.42351412796362453,
Ascended Heroes,219,Beautifly,6,10.64,,2.3646204839134985,,10.64,,0.0,-0.17408489472807576
Ascended Heroes,219,Beautifly,7,8.94,10.64,2.190535589185423,-0.17408489472807576,9.79,1.2020815280171309,-0.15977443609022565,-0.1610724173118281
Ascended Heroes,219,Beautifly,8,7.61,8.94,2.0294631718735947,-0.1610724173118281,9.063333333333334,1.51876045949759,-0.28477443609022557,-0.013227706097551195
Ascended Heroes,219,Beautifly,9,7.51,7.61,2.0162354657760435,-0.013227706097551195,8.02,0.7983107164506779,-0.29417293233082714,0.10362799040270776
Ascended Heroes,219,Beautifly,10,8.33,7.51,2.1198634561787513,0.10362799040270776,7.816666666666667,0.44736264186153074,-0.21710526315789477,-0.06317890162153139
Ascended Heroes,219,Beautifly,11,7.82,8.33,2.05668455455722,-0.06317890162153139,7.886666666666668,0.41404508611180046,-0.2650375939849624,-0.08538517149708702
Ascended Heroes,219,Beautifly,12,7.18,7.82,1.9712993830601329,-0.08538517149708702,7.776666666666666,0.5762233363317805,-0.3251879699248121,
Ascended Heroes,220,Dustox,6,6.09,,1.8066480817218056,,6.09,,0.0,-0.3668129536738851
Ascended Heroes,220,Dustox,7,4.22,6.09,1.4398351280479205,-0.3668129536738851,5.154999999999999,1.3222896808188436,-0.3070607553366174,0.11197367154954341
Ascended Heroes,220,Dustox,8,4.72,4.22,1.5518087995974639,0.11197367154954341,5.01,0.9681425514871246,-0.22495894909688016,-0.07704579048996507
Ascended Heroes,220,Dustox,9,4.37,4.72,1.4747630091074988,-0.07704579048996507,4.4366666666666665,0.25658007197234334,-0.2824302134646962,-0.10104743019446816
Ascended Heroes,220,Dustox,10,3.95,4.37,1.3737155789130306,-0.10104743019446816,4.346666666666667,0.3855299383100264,-0.3513957307060755,0.005050515786068521
